article_id,entity_text,entity_type,attributed_sent,doc_sentiment,entity_doc_diff,n_sentences
art_008,US,ORGANIZATION,-0.029827996750100283,-0.0265,0.0033279967501002837,14
art_008,Hyundai,ORGANIZATION,-0.01311091536481399,-0.0265,0.013389084635186009,5
art_008,Trump,PERSON,-0.048751549246454876,-0.0265,0.022251549246454876,7
art_008,ICE,ORGANIZATION,-0.006709168723318726,-0.0265,0.019790831276681273,6
art_008,South Korea,ORGANIZATION,-0.03561259757498192,-0.0265,0.00911259757498192,8
art_008,United States Department of Homeland Security,ORGANIZATION,-0.18347563943825662,-0.0265,0.15697563943825663,1
art_008,Hyundai-,ORGANIZATION,-0.00294291722093476,-0.0265,0.02355708277906524,2
art_008,LG,ORGANIZATION,0.037793039174478814,-0.0265,0.06429303917447882,3
art_008,Ministry of Foreign Affairs,ORGANIZATION,-0.031292679253965616,-0.0265,0.004792679253965617,1
art_008,Trump,PERSON,-0.048751549246454876,-0.0265,0.022251549246454876,7
art_008,National Guard,ORGANIZATION,-0.029018649365752935,-0.0265,0.002518649365752936,1
art_008,Trump,PERSON,-0.048751549246454876,-0.0265,0.022251549246454876,7
art_008,National Guard,ORGANIZATION,-0.029018649365752935,-0.0265,0.002518649365752936,1
art_008,US Department of Homeland Security,ORGANIZATION,-0.010163040977204219,-0.0265,0.01633695902279578,1
art_008,President Donald Trump,PERSON,-0.05056985327973962,-0.0265,0.02406985327973962,1
art_008,Hyundai-LG,ORGANIZATION,-0.00294291722093476,-0.0265,0.02355708277906524,2
art_008,South Korea,ORGANIZATION,-0.03561259757498192,-0.0265,0.00911259757498192,8
art_008,Foreign Ministry,ORGANIZATION,-0.014021131210029125,-0.0265,0.012478868789970874,1
art_008,Lee Jaewoong,PERSON,-0.014021131210029125,-0.0265,0.012478868789970874,1
art_008,Trump,PERSON,-0.048751549246454876,-0.0265,0.022251549246454876,7
art_008,US Immigration and Customs Enforcement,ORGANIZATION,-0.02169604360824451,-0.0265,0.004803956391755491,2
art_008,ICE,ORGANIZATION,-0.006709168723318726,-0.0265,0.019790831276681273,6
art_008,president,PERSON,-0.08736112853694067,-0.0265,0.06086112853694067,4
art_008,ICE,ORGANIZATION,-0.006709168723318726,-0.0265,0.019790831276681273,6
art_008,Trump,PERSON,-0.048751549246454876,-0.0265,0.022251549246454876,7
